      0.00000      1.15099      1.15099      1.15099      1.15099
     0.100000      1.16602      1.16602      1.16602      1.16602
     0.200000      1.18768      1.18768      1.18768      1.18768
     0.300000      1.21787      1.21787      1.21787      1.21787
     0.400000      1.25855      1.25855      1.25855      1.25855
     0.500000      1.31160      1.31160      1.31160      1.31160
     0.600000      1.37867      1.37867      1.37867      1.37867
     0.700000      1.46104      1.46104      1.46104      1.46104
     0.800000      1.55953      1.55953      1.55953      1.55953
     0.900000      1.67439      1.67439      1.67439      1.67439
      1.00000      1.80531      1.80531      1.80531      1.80531
      1.10000      1.95140      1.95140      1.95140      1.95140
      1.20000      2.11121      2.11121      2.11121      2.11121
      1.30000      2.28282      2.28282      2.28282      2.28282
      1.40000      2.46394      2.46394      2.46394      2.46394
      1.50000      2.65196      2.65196      2.65196      2.65196
      1.60000      2.84411      2.84411      2.84411      2.86681
      1.70000      3.03753      3.03753      3.03753      3.11742
      1.80000      3.22938      3.22938      3.22938      3.40855
      1.90000      3.41690      3.41690      3.41690      3.74763
      2.00000      3.59756      3.59756      3.59756      4.10766
      2.10000      3.76902      3.76902      3.76902      4.48859
      2.20000      3.92926      3.92926      3.92926      4.93107
      2.30000      4.07654      4.07654      4.07654      5.38712
      2.40000      4.20946      4.20946      4.20946      5.86732
      2.50000      4.32698      4.32698      4.32698      6.38488
      2.60000      4.42834      4.42834      4.42834      6.94240
      2.70000      4.85449      4.85449      4.85449      7.54268
      2.80000      5.31424      5.31424      5.31424      8.13917
      2.90000      5.80804      5.80804      5.80804      8.77968
      3.00000      6.33623      6.33623      6.33623      9.51768
      3.10000      6.89901      6.89901      6.89901      10.2903
      3.20000      7.49649      7.49649      7.49649      11.0714
      3.30000      8.12868      8.12868      8.12868      11.9364
      3.40000      8.79541      8.79541      8.79541      12.9112
      3.50000      9.45549      9.45549      9.45549      13.9262
      3.60000      10.0544      10.0544      10.0544      14.9608
      3.70000      10.6662      10.6662      10.6662      16.0953
      3.80000      11.2894      11.2894      11.2894      17.3827
      3.90000      11.9225      12.7851      11.9225      18.7675
      4.00000      12.5642      14.8801      12.5642      20.2573
      4.10000      13.2131      17.3460      13.2131      21.8600
      4.20000      13.8676      20.2479      13.8676      23.5841
      4.30000      14.5266      23.6624      14.5266      25.4392
      4.40000      15.1886      0.00000      15.1886      27.4894
      4.50000      15.8524      0.00000      16.0026      29.7973
      4.60000      16.5167      0.00000      17.2902      32.2917
      4.70000      17.1805      0.00000      18.6816      34.9878
      4.80000      17.8426      0.00000      20.1852      37.9016
      4.90000      18.3316      0.00000      21.8095      41.0495
      5.00000      18.7886      0.00000      23.5648      44.4518
      5.10000      19.2292      0.00000      25.4613      48.1279
      5.20000      19.6529      0.00000      27.5646      52.2057
      5.30000      20.0593      0.00000      29.9191      56.7709
      5.40000      20.4481      0.00000      32.4727      61.7226
      5.50000      20.8191      0.00000      35.3250      67.2540
      5.60000      21.1721      0.00000      38.5048      73.4210
      5.70000      21.5071      0.00000      41.9661      80.1345
      5.80000      21.8240      0.00000      45.8293      87.6278
      5.90000      22.1229      0.00000      50.1502      96.0097
      6.00000      22.4040      0.00000      54.8692      105.164
      6.10000      22.6673      23.0923      60.0219      115.160
      6.20000      22.9130      25.1756      65.6468      126.073
      6.30000      23.1414      27.4491      71.7860      137.984
      6.40000      23.2464      29.9297      78.4851      150.982
