## z  M=5d11  1d12  2d12  3d12  4d12  5d12 6d12  7d12  8d12  9d12  1d13  1.6d13  2d13 Msun/h
0.00    0.92    0.98    1.06    1.12    1.17    1.21    1.25    1.29    1.32    1.34    1.37    1.51    1.58
0.10    0.95    1.02    1.11    1.18    1.23    1.28    1.32    1.35    1.39    1.42    1.45    1.60    1.68
0.20    0.98    1.06    1.16    1.24    1.30    1.35    1.39    1.43    1.47    1.50    1.54    1.70    1.79
0.30    1.02    1.11    1.22    1.30    1.37    1.42    1.47    1.52    1.56    1.60    1.63    1.81    1.91
0.40    1.07    1.16    1.29    1.38    1.45    1.51    1.56    1.61    1.66    1.70    1.74    1.93    2.04
0.50    1.11    1.22    1.36    1.45    1.53    1.60    1.66    1.71    1.76    1.81    1.85    2.07    2.19
0.60    1.16    1.28    1.43    1.54    1.62    1.70    1.76    1.82    1.88    1.93    1.97    2.21    2.34
0.70    1.22    1.35    1.51    1.63    1.72    1.80    1.88    1.94    2.00    2.05    2.11    2.36    2.51
0.80    1.28    1.42    1.60    1.73    1.83    1.92    1.99    2.07    2.13    2.19    2.25    2.53    2.68
0.90    1.34    1.49    1.69    1.83    1.94    2.04    2.12    2.20    2.27    2.33    2.40    2.70    2.87
1.00    1.41    1.57    1.79    1.94    2.06    2.16    2.26    2.34    2.42    2.49    2.55    2.89    3.07
1.10    1.48    1.66    1.89    2.05    2.18    2.30    2.40    2.49    2.57    2.65    2.72    3.08    3.28
1.20    1.55    1.75    1.99    2.17    2.32    2.44    2.55    2.64    2.73    2.82    2.89    3.29    3.50
1.30    1.63    1.84    2.11    2.30    2.45    2.59    2.70    2.81    2.90    2.99    3.08    3.50    3.73
1.40    1.71    1.93    2.22    2.43    2.60    2.74    2.86    2.98    3.08    3.18    3.27    3.72    3.97
1.50    1.79    2.04    2.35    2.57    2.75    2.90    3.03    3.16    3.27    3.37    3.47    3.96    4.23
1.60    1.88    2.14    2.47    2.71    2.90    3.07    3.21    3.34    3.46    3.57    3.68    4.20    4.49
1.70    1.97    2.25    2.61    2.86    3.07    3.24    3.40    3.54    3.66    3.78    3.89    4.46    4.76
1.80    2.06    2.36    2.74    3.02    3.23    3.42    3.59    3.74    3.87    4.00    4.12    4.72    5.05
1.90    2.16    2.48    2.89    3.18    3.41    3.61    3.79    3.94    4.09    4.23    4.35    4.99    5.34
2.00    2.26    2.60    3.04    3.34    3.59    3.80    3.99    4.16    4.31    4.46    4.59    5.27    5.65
2.10    2.37    2.73    3.19    3.51    3.78    4.00    4.20    4.38    4.55    4.70    4.84    5.56    5.96
2.20    2.48    2.86    3.34    3.69    3.97    4.21    4.42    4.61    4.79    4.95    5.10    5.87    6.29
2.30    2.59    2.99    3.51    3.87    4.17    4.42    4.65    4.85    5.03    5.20    5.37    6.18    6.62
2.40    2.70    3.13    3.67    4.06    4.37    4.64    4.88    5.09    5.29    5.47    5.64    6.50    6.97
2.50    2.82    3.27    3.85    4.25    4.58    4.87    5.12    5.34    5.55    5.74    5.92    6.82    7.32
2.60    2.94    3.42    4.02    4.45    4.80    5.10    5.36    5.60    5.82    6.02    6.21    7.16    7.69
2.70    3.07    3.57    4.20    4.66    5.02    5.34    5.61    5.86    6.09    6.31    6.51    7.51    8.06
2.80    3.19    3.72    4.39    4.87    5.25    5.58    5.87    6.14    6.38    6.60    6.81    7.87    8.45
2.90    3.33    3.88    4.58    5.08    5.49    5.83    6.14    6.42    6.67    6.90    7.13    8.24    8.85
3.00    3.46    4.04    4.78    5.30    5.73    6.09    6.41    6.70    6.97    7.21    7.45    8.61    9.25
3.10    3.60    4.21    4.98    5.53    5.97    6.35    6.69    6.99    7.27    7.53    7.78    9.00    9.67
3.20    3.74    4.37    5.18    5.76    6.23    6.62    6.98    7.29    7.59    7.86    8.11    9.39   10.09
3.30    3.88    4.55    5.39    6.00    6.48    6.90    7.27    7.60    7.91    8.19    8.46    9.80   10.53
3.40    4.03    4.72    5.61    6.24    6.75    7.18    7.57    7.92    8.24    8.53    8.81   10.21   10.98
3.50    4.18    4.91    5.83    6.49    7.02    7.47    7.87    8.24    8.57    8.88    9.17   10.63   11.43
3.60    4.33    5.09    6.05    6.74    7.29    7.77    8.19    8.57    8.91    9.24    9.54   11.06   11.90
3.70    4.49    5.28    6.28    7.00    7.57    8.07    8.51    8.90    9.26    9.60    9.92   11.50   12.38
3.80    4.65    5.47    6.52    7.26    7.86    8.38    8.83    9.24    9.62    9.97   10.30   11.95   12.86
3.90    4.82    5.67    6.75    7.53    8.15    8.69    9.16    9.59    9.99   10.35   10.69   12.41   13.36
4.00    4.98    5.87    7.00    7.80    8.45    9.01    9.50    9.95   10.36   10.74   11.09   12.88   13.87
4.10    5.15    6.07    7.25    8.08    8.76    9.34    9.85   10.31   10.74   11.13   11.50   13.36   14.38
4.20    5.33    6.28    7.50    8.37    9.07    9.67   10.20   10.68   11.12   11.53   11.92   13.85   14.91
4.30    5.50    6.49    7.76    8.66    9.39   10.01   10.56   11.06   11.52   11.94   12.34   14.34   15.45
4.40    5.68    6.71    8.02    8.95    9.71   10.35   10.93   11.44   11.92   12.36   12.77   14.85   15.99
4.50    5.86    6.93    8.29    9.25   10.04   10.71   11.30   11.83   12.33   12.78   13.21   15.36   16.55
4.60    6.05    7.15    8.56    9.56   10.37   11.06   11.68   12.23   12.74   13.21   13.66   15.89   17.11
4.70    6.24    7.38    8.83    9.87   10.71   11.43   12.06   12.64   13.16   13.65   14.11   16.42   17.69
4.80    6.43    7.61    9.11   10.19   11.06   11.80   12.46   13.05   13.59   14.10   14.57   16.96   18.28
4.90    6.63    7.85    9.40   10.51   11.41   12.17   12.85   13.47   14.03   14.56   15.05   17.52   18.87
5.00    6.82    8.08    9.69   10.84   11.76   12.56   13.26   13.89   14.48   15.02   15.52   18.08   19.48
5.10    7.03    8.33    9.99   11.17   12.13   12.95   13.67   14.33   14.93   15.49   16.01   18.65   20.10
5.20    7.23    8.57   10.29   11.51   12.50   13.34   14.09   14.77   15.39   15.96   16.50   19.23   20.72
5.30    7.44    8.82   10.59   11.85   12.87   13.74   14.52   15.21   15.85   16.45   17.01   19.81   21.36
5.40    7.65    9.08   10.90   12.20   13.25   14.15   14.95   15.67   16.33   16.94   17.52   20.41   22.01
5.50    7.87    9.34   11.21   12.55   13.64   14.57   15.39   16.13   16.81   17.44   18.03   21.02   22.66
5.60    8.08    9.60   11.53   12.91   14.03   14.99   15.83   16.60   17.30   17.95   18.56   21.64   23.33
5.70    8.30    9.87   11.86   13.28   14.43   15.41   16.28   17.07   17.79   18.46   19.09   22.26   24.00
5.80    8.53   10.14   12.18   13.65   14.83   15.84   16.74   17.55   18.30   18.99   19.63   22.89   24.69
5.90    8.76   10.41   12.52   14.02   15.24   16.28   17.21   18.04   18.81   19.52   20.18   23.54   25.39
6.00    8.99   10.69   12.86   14.40   15.66   16.73   17.68   18.53   19.32   20.05   20.74   24.19   26.09
6.10    9.22   10.97   13.20   14.79   16.08   17.18   18.16   19.04   19.85   20.60   21.30   24.85   26.81
6.20    9.46   11.25   13.54   15.18   16.50   17.64   18.64   19.55   20.38   21.15   21.88   25.53   27.53
6.30    9.70   11.54   13.90   15.58   16.94   18.10   19.13   20.06   20.92   21.71   22.46   26.21   28.27
6.40    9.94   11.84   14.25   15.98   17.38   18.57   19.63   20.59   21.46   22.28   23.04   26.90   29.01
6.50   10.19   12.13   14.61   16.39   17.82   19.05   20.13   21.12   22.02   22.86   23.64   27.59   29.77
6.60   10.44   12.43   14.98   16.80   18.27   19.53   20.64   21.65   22.58   23.44   24.24   28.30   30.54
6.70   10.69   12.74   15.35   17.22   18.73   20.02   21.16   22.20   23.15   24.03   24.85   29.02   31.31
6.80   10.95   13.05   15.73   17.64   19.19   20.51   21.69   22.75   23.72   24.63   25.47   29.75   32.10
6.90   11.20   13.36   16.11   18.07   19.66   21.01   22.22   23.31   24.30   25.23   26.10   30.48   32.89
7.00   11.47   13.67   16.49   18.50   20.13   21.52   22.76   23.87   24.89   25.85   26.74   31.23   33.70
7.10   11.73   13.99   16.88   18.94   20.61   22.04   23.30   24.44   25.49   26.47   27.38   31.98   34.51
7.20   12.00   14.32   17.27   19.38   21.09   22.56   23.85   25.02   26.10   27.09   28.03   32.74   35.34
7.30   12.27   14.64   17.67   19.83   21.58   23.08   24.41   25.61   26.71   27.73   28.69   33.52   36.17
7.40   12.55   14.98   18.08   20.29   22.08   23.61   24.97   26.20   27.33   28.37   29.35   34.30   37.02
7.50   12.83   15.31   18.48   20.75   22.58   24.15   25.54   26.80   27.95   29.02   30.03   35.09   37.87
7.60   13.11   15.65   18.90   21.22   23.09   24.70   26.12   27.41   28.59   29.68   30.71   35.89   38.74
7.70   13.39   15.99   19.31   21.69   23.61   25.25   26.70   28.02   29.23   30.35   31.40   36.70   39.61
7.80   13.68   16.34   19.74   22.16   24.12   25.81   27.29   28.64   29.87   31.02   32.10   37.52   40.50
7.90   13.97   16.69   20.16   22.64   24.65   26.37   27.89   29.27   30.53   31.70   32.80   38.34   41.39

