#      az(d)       el(d) polygon_ids
  17.094564    0.196660  293
 341.387177   -0.003634 3000
 344.785644   -0.697889 3028
  14.342959    0.279077  155
 335.211700    0.333101 1233
 334.042877    0.419978 1229
 339.244659   -0.220162 2972
 336.712646    0.983430 1253
 331.880096    0.671521 1210
 341.816711   -0.521043 3002
 333.463898    0.219915 1224
  12.872431   -0.612440 1724
 339.526977   -0.404293 2980
 337.827881    0.364365 1302
 341.150238    0.145961 1326
  13.214082    0.806940  111
 332.980286    0.686661 1223
 334.342804    0.277783 1229
 337.102844    0.479589 1253
 348.676148   -0.160335 3055
 337.388947   -0.310621 2952
 333.505188   -0.036699 2878
 349.777100   -0.817913 3063
 348.692932   -0.368597 3055
 343.920105    0.319369 1354
 344.535400    0.489052 1366
 334.402252    0.272932 1229
 332.764221   -0.752816 2869
 339.729187    0.167229 1313
 339.905182    0.677488 1317
 348.760498   -0.211054 3055
 346.704468    0.849989 1384
 343.278778    0.632978 1354
 332.565643   -0.777815 2869
 336.799133    0.728678 1253
 333.568237   -0.351551 2878
  35.495167   -0.181258 2470
 339.652649    0.125299 1313
 336.554138   -0.516342 2905
 346.626160   -0.454624 3040
  31.261715   -0.294187 2440
 338.011871    0.774925 1306
 342.971588    0.261825 1348
  28.185173   -0.372188 2416
 340.834198    0.487371 1326
 335.704651    0.084599 1243
 336.006622   -0.799802 2898
  12.273874   -0.514230 1719
 345.050690   -0.249733 3032
 343.720306    0.806301 1354
 336.892487    0.896546 1253
  14.247094    0.728583  307
 346.142639    0.582408 1379
 345.120697   -0.294349 3032
 338.203186   -0.484288 3161
 343.549866   -0.830437 3017
  11.340129   -0.782749 1716
 333.214569   -0.708525 2874
  33.480141   -0.904221 2453
 342.657776    0.911329 1348
 345.852936    0.219277 1377
 347.428803   -0.090739 3048
 332.715881   -0.889469 2869
  19.047621    0.009307  559
 339.453980   -0.260534 2980
 344.617950   -0.421063 3028
 347.082367    0.439371 1384
 342.276123    0.835710 1340
  35.579567   -0.188497 2470
 337.975159    0.061061 1302
  16.698452    0.474033  215
  34.781883   -0.071536 2465
 331.879852    0.803844 1210
  13.576201   -0.760669 1729
 338.236115   -0.212955 2971
 331.989502    0.338278 1210
 342.957275   -0.469925 3014
 335.778900    0.521832 1243
  11.083817    0.178949   93
 343.265655   -0.657306 3014
 332.027252    0.807825 1210
 346.278534   -0.582100 3040
 346.186035   -0.312141 3040
  12.274766   -0.526200 1719
 345.849029    0.270897 1377
 334.625336    0.001362 1229
 332.253235    0.399352 1210
 335.953644   -0.065166 2898
 332.867645   -0.589495 2869
  18.985851    0.021406  559
  32.679867   -0.305135 2452
 347.236694    0.282356 1384
 346.286682    0.717733 1379
 333.580902   -0.444845 2878
 347.733429   -0.329850 3051
 347.467743    0.003403 1389
 347.683014   -0.696646 3210
  17.845600   -0.043560 1820
 334.784027    0.865585 1233
 339.439178   -0.722123 2972
 346.798462   -0.286477 3040
 339.504089   -0.194178 2985
 345.724579   -0.762736 3036
 342.154633   -0.194403 3004
 341.585205    0.894689 1333
 348.324493   -0.289722 3055
 344.498596    0.279333 1548
 344.617401    0.388874 1367
 343.120758    0.365892 1348
 345.872894   -0.080344 3038
 338.223206   -0.188733 2971
 343.732483    0.531498 1354
 343.148895   -0.920371 3017
 347.822815   -0.631355 3051
 337.195740   -1.025523 2942
 347.977875    0.346089 1390
 338.088379   -0.716947 2965
 344.661713   -0.589811 3028
 332.590576   -0.133430 2869
  11.219827   -0.140617 1716
 343.928009    0.238521 1354
 357.089172    0.185976 1470
  25.751255    0.893979 1201
   5.591175   -0.748625 1659
   7.823759    0.284738   63
  10.796846   -0.142163 1710
  27.037510   -0.919121 2543
  13.106020    0.714194  111
  13.594514    0.271148  116
  33.129520    0.459985  839
   7.640109    0.660267   63
  15.615053    0.720590  402
  32.502667    0.839845  833
  16.072012   -0.377714 1759
  22.404280   -0.653311 2030
  18.416780    0.032777  424
   3.380288   -0.252619 1646
  18.388308   -0.005897 1886
  14.674589   -0.989159 2066
  17.664022   -0.391070 1817
 358.568848   -0.209316 3140
 351.470703    0.235257 1423
 354.123779   -0.530651 3097
 359.024933    0.881418 1488
   0.719701   -0.058607 1627
   0.920440    0.471772    8
   4.573915   -0.449725 1658
  16.364988   -0.492967 1760
 351.824799    0.096052 1423
  22.556780    0.048198 1070
   9.470285    0.024474   75
  21.972990    0.922836  234
   4.577945    0.452542   36
  33.573784    0.447389  841
  29.096905   -0.462733 2425
   6.823821   -0.973977 1671
  31.105570    0.160149  826
  23.770430   -0.667612 2600
   6.580660   -0.194138 2246
  19.663570    0.465361  477
  31.926557   -0.858758 2446
   9.993007   -0.230795 1707
  26.488468    0.053741  914
  26.764406   -0.324439 2491
  24.508747    0.618025  900
  12.994872    0.173540  111
