#az(d)       el(d) polygon_ids
  13.266633   -0.425703 1731
 347.428803   -0.090739 3048
 347.581573    0.972923 1389
  29.748489    0.674077  816
 359.260620   -0.806681 3146
  31.980825   -0.961009 2446
  17.011653    0.685334  138
 354.689392   -0.058844 3105
  30.517292    0.641132  822
  14.067030   -0.569352 2291
 356.245483   -0.085603 3123
  21.139922   -0.059870 2122
 334.250957   -0.860196 2878
  34.350960    0.672498  847
 349.271460   -0.033875 3062
 353.774414   -0.668386 3097
  27.479677   -0.563564 2585
 333.703179    0.687964
  11.812793   -0.210343 1719
  16.107039    0.844236  490
  27.573786    0.484025  804
   2.399646   -0.102781 1641
  16.161009    0.318108  205
  18.289133   -0.177171 1890
  14.731476    1.149692  231
  18.079399    0.613294  421
  10.374152    0.987626   86
 354.123796   -0.530634 3097
 351.702606    0.904491 1421
  17.110668   -0.519125 1879
 336.716950    0.774375 1253
  21.467867    0.974356  175
  23.985226   -0.275683 2524
   0.119757   -0.277789 1624
 353.937744    0.858909 1447
  25.129911   -0.551646 2503
   3.698172    0.820905   30
   6.607766   -0.808350 2246
 350.085558    0.677900 1410
   2.841118   -0.155170 1641
   7.418607    0.938289   58
  25.386910    1.011547 1201
 354.143409   -0.333593 3097
 356.800110   -0.227470 3123
   6.580645   -0.194132 2246
 354.622101   -0.992749 3240
 358.858246    0.878941 1488
  11.814676    0.518596   99
  10.239518   -0.881712 1703
  30.932104   -0.866534 2435
  19.103857   -0.679198 1941
   4.995635    0.911860   40
   6.461154   -0.412961 2246
 344.535400    0.489052 1366
 352.380670   -0.343392 3082
   7.757642   -0.833403 1679
  24.484367   -0.648244 2698
   8.928729    0.528583   75
 352.118131   -0.957560 3077
  32.566406   -0.848186 2452
 349.298462   -0.988557 3061
  20.055835    0.719803  202
 337.919691   -0.866952 2962
  20.279615    0.442638  473
  30.734608    0.876711 1122
 345.655548    0.402964 1375
  22.923311   -1.057021 2602
  18.645008    0.326597  563
  21.965754   -0.521070 2166
 348.930695    0.530036 1398
  26.844620   -1.149696 2540
   4.267785   -0.921146 1647
   6.226386    0.402580   51
   2.697433   -0.000704 1641
  14.144759   -0.716180 2061
